,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,337,Dcover Jcover-fuzz,time(Seconds):,479,Jcover test verification on,time(Seconds):,552
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
easyexcel,com.alibaba.excel.read.listener,ModelBuildEventListener,,,,68,1,0.014492753623188406,68,1,0.014492753623188406,49,20,0.2898550724637681
easyexcel,com.alibaba.excel.enums,WriteLastRowTypeEnum,,,,0,4,1.0,0,4,1.0,0,4,1.0
easyexcel,com.alibaba.excel.enums,CellDataTypeEnum,,,,1,18,0.9473684210526315,0,19,1.0,0,19,1.0
easyexcel,com.alibaba.excel.enums,WriteTemplateAnalysisCellTypeEnum,,,,0,3,1.0,0,3,1.0,0,3,1.0
easyexcel,com.alibaba.excel.enums,WriteTypeEnum,,,,0,3,1.0,0,3,1.0,0,3,1.0
easyexcel,com.alibaba.excel.enums,HolderEnum,,,,0,5,1.0,0,5,1.0,0,5,1.0
easyexcel,com.alibaba.excel.enums,HeadKindEnum,,,,0,4,1.0,0,4,1.0,0,4,1.0
easyexcel,com.alibaba.excel.enums,WriteDirectionEnum,,,,0,3,1.0,0,3,1.0,0,3,1.0
easyexcel,com.alibaba.excel.analysis.v03,XlsSaxAnalyser,,,,97,0,0.0,97,0,0.0,97,0,0.0
easyexcel,com.alibaba.excel.analysis.v03,XlsListSheetListener,,,,20,0,0.0,20,0,0.0,20,0,0.0
easyexcel,com.alibaba.excel.analysis.v03,AbstractXlsRecordHandler,,,,2,5,0.7142857142857143,2,5,0.7142857142857143,3,4,0.5714285714285714
easyexcel,com.alibaba.excel.write.merge,LoopMergeStrategy,,,,13,0,0.0,8,5,0.38461538461538464,13,0,0.0
easyexcel,com.alibaba.excel.write.merge,AbstractMergeStrategy,,,,7,0,0.0,6,1,0.14285714285714285,7,0,0.0
